n_estimators,max_depth,mean_cv_r2
50,,0.5618198466683666
100,,0.5661120634911038
200,,0.5678940464051351
500,,0.5695963439307503
50,10,0.5142709385244493
100,10,0.5149154198614168
200,10,0.5154391748489021
500,10,0.5161914106185251
50,20,0.5544717187608748
100,20,0.5551514919076566
200,20,0.5554430639172946
500,20,0.5565229194180594
50,30,0.5603803777273237
100,30,0.5628053363377427
200,30,0.565551688056177
500,30,0.5660631301092616
