Fold,R2,MSE (nm²)
1,0.785232597091173,2445.6290614874897
2,0.8104652281724876,2121.9506213059894
3,0.8056242687842748,2197.3561455081517
4,0.8063787748295483,2058.9002697987517
5,0.8023219498324522,2378.368864614108
